resource_kind,object_name,from_version/config,to_version/config,transition_class,cost_class,median_ms,p95_ms,invalidation_targets,reuse_safe,sample_count,success_count,failure_count,timeout_count,measurement_environment_id,workload_origin,benchmark_id,from_object_id,to_object_id
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,16499.729852,16782.6312697,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:Effect-TS__effect.5df4da10:root:typescript:3936ee7940b9
build_cache,rollup,cold,manifest-derived,artifact_cold,ENV_PREP,5060.622381,5241.9432853,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:Shopify__draggable.8a1eed57:root:rollup:75fa7c4af02e
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,284.292814,285.7398096,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:Shopify__draggable.8a1eed57:root:typescript:75fa7c4af02e
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,274.781285,278.29023870000003,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:brianc__node-postgres.ecff60dc:root:typescript:f43ed1faaa9b
build_cache,lerna,cold,manifest-derived,artifact_cold,ENV_PREP,3245.388653,3443.0758583999996,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:foambubble__foam.2cac8162:root:lerna:2510f8df8165
build_cache,gulp,cold,manifest-derived,artifact_cold,ENV_PREP,11257.797516,11493.5430137,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:josdejong__jsoneditor.0319b213:root:gulp:be56cc981d38
build_cache,gulp,cold,manifest-derived,artifact_cold,ENV_PREP,22559.432936,22623.4189984,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:josdejong__mathjs.04e6e2d7:root:gulp:4c7f724eabb4
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,8413.023244,8443.5237232,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:josdejong__mathjs.04e6e2d7:root:typescript:4c7f724eabb4
build_cache,turbo,cold,manifest-derived,artifact_cold,ENV_PREP,89601.621714,91869.6859184,,True,5,5,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:payloadcms__payload.8f660355:root:turbo:096d4a336345
build_cache,rollup,cold,manifest-derived,artifact_cold,ENV_PREP,2998.649611,3021.6689488,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:refined-github__refined-github.d4a7c3fb:root:rollup:aa1f302ca640
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,3839.764191,3907.2345408,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:refined-github__refined-github.d4a7c3fb:root:typescript:aa1f302ca640
build_cache,turbo,cold,manifest-derived,artifact_cold,ENV_PREP,15924.306211,16010.5275203,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:tinacms__tinacms.dffb104f:root:turbo:765d0508e257
build_cache,turbo,cold,manifest-derived,artifact_cold,ENV_PREP,23082.374558,23313.632877,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:trpc__trpc.2f40ba93:root:turbo:8fa8b4550448
build_cache,turbo,cold,manifest-derived,artifact_cold,ENV_PREP,68447.668403,69093.06934039999,,True,5,5,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:ueberdosis__tiptap.2d6de06c:root:turbo:85ad102bc603
build_cache,typescript,cold,manifest-derived,artifact_cold,ENV_PREP,11447.800725,11570.8380953,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-COLD,,build_cache:voideditor__void.17e7a5b1:root:typescript:0426f7949e03
build_cache,typescript,manifest-derived,manifest-derived,exact_hit,ENV_PREP,16682.560996,16829.535427,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-HIT,build_cache:Effect-TS__effect.5df4da10:root:typescript:3936ee7940b9,build_cache:Effect-TS__effect.5df4da10:root:typescript:3936ee7940b9
build_cache,rollup,manifest-derived,manifest-derived,exact_hit,ENV_PREP,5043.648057,5107.5180654,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-HIT,build_cache:Shopify__draggable.8a1eed57:root:rollup:75fa7c4af02e,build_cache:Shopify__draggable.8a1eed57:root:rollup:75fa7c4af02e
build_cache,typescript,manifest-derived,manifest-derived,exact_hit,ENV_PREP,283.86243,290.250352,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-HIT,build_cache:Shopify__draggable.8a1eed57:root:typescript:75fa7c4af02e,build_cache:Shopify__draggable.8a1eed57:root:typescript:75fa7c4af02e
build_cache,typescript,manifest-derived,manifest-derived,exact_hit,ENV_PREP,274.294055,300.1028052,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-HIT,build_cache:brianc__node-postgres.ecff60dc:root:typescript:f43ed1faaa9b,build_cache:brianc__node-postgres.ecff60dc:root:typescript:f43ed1faaa9b
build_cache,lerna,manifest-derived,manifest-derived,exact_hit,ENV_PREP,2821.351956,2887.4649643000002,,True,7,7,0,0,env:0fd7b54e0a2a55d4208d,real,EXACT-BUILD-CACHE-HIT,build_cache:foambubble__foam.2cac8162:root:lerna:2510f8df8165,build_cache:foambubble__foam.2cac8162:root:lerna:2510f8df8165
